a,b,max_size,accuracy,diversity,time
1.7888,3.7331,17,0.754923,0.185789,27.962368
1.7888,3.4859,17,0.754923,0.185789,27.74315
1.1808,2.8385,11,0.754615,0.18904,20.315251
1.4613,1.9398,11,0.754462,0.18904,20.242744
0.8212,2.8355,10,0.75441,0.189595,19.131883
0.7767,2.8355,10,0.754256,0.189595,18.638756
0.9354,3.9012,7,0.754154,0.192726,13.863869
1.1928,7.5265,6,0.751744,0.193287,12.195633
0.7637,6.9499,6,0.750974,0.193287,12.136971
1.6061,3.7648,5,0.749744,0.192709,10.709204
0.9965,3.2782,5,0.749333,0.192709,10.57816
1.1792,3.0297,5,0.748923,0.192709,10.483095
0.7785,2.7636,5,0.748718,0.192709,10.472261
0.9965,2.7591,5,0.748308,0.192709,10.428945
