block_index,a,b,recent_accuracy,diversity,complexity,evaluation_elapsed
1,1.2156,4.1459,0.912,0.0,0.076308,0.076308
2,0.3858,4.6136,0.917,0.027,0.121431,0.121431
3,1.7589,12.7612,0.897,0.059667,0.161233,0.161233
4,1.0688,11.0179,0.872,0.078833,0.203267,0.203267
5,1.5259,12.1017,0.888,0.096767,0.244938,0.244938
6,1.3397,13.0836,0.887,0.110333,0.284518,0.284518
6,1.5663,3.9476,0.875,0.110333,0.283556,0.283556
7,1.3466,2.8208,0.884,0.113638,0.329707,0.329707
7,0.9771,1.1902,0.883,0.113638,0.329014,0.329014
7,0.7727,9.305,0.882,0.113638,0.328745,0.328745
8,0.9321,3.5436,0.901,0.114048,0.377707,0.377707
8,1.5961,12.6714,0.9,0.114048,0.370123,0.370123
9,1.4039,7.3489,0.892,0.115143,0.383421,0.383421
9,0.9014,7.8857,0.891,0.115143,0.377556,0.377556
10,0.5631,14.2503,0.889,0.106111,0.417492,0.417492
10,1.2699,9.0392,0.887,0.106111,0.414177,0.414177
11,0.7291,14.0632,0.877,0.093875,0.450747,0.450747
12,1.0017,10.9639,0.868,0.089915,0.490297,0.490297
13,0.2288,7.8753,0.885,0.09269,0.528592,0.528592
13,0.5149,4.2214,0.884,0.09269,0.527141,0.527141
14,1.4795,1.4941,0.897,0.092945,0.580074,0.580074
14,1.4796,1.2366,0.896,0.092945,0.566822,0.566822
15,1.6983,5.7645,0.895,0.088854,0.608703,0.608703
16,0.5619,3.9179,0.893,0.087823,0.652107,0.652107
16,0.6871,13.3177,0.892,0.087823,0.648041,0.648041
17,0.4539,3.244,0.886,0.09639,0.688034,0.688034
17,0.9099,10.8899,0.884,0.09639,0.685833,0.685833
18,1.3902,1.2888,0.895,0.09708,0.720728,0.720728
18,0.7161,1.38,0.891,0.09708,0.71579,0.71579
19,0.9241,14.9618,0.895,0.095931,0.760032,0.760032
19,0.8113,11.8071,0.894,0.095931,0.757792,0.757792
20,1.4171,13.965,0.752,0.095671,0.798908,0.798908
20,1.2577,11.4688,0.751,0.095671,0.795154,0.795154
21,0.3117,13.7061,0.578,0.104089,0.831722,0.831722
22,1.7792,2.1828,0.584,0.143932,0.822016,0.822016
22,0.2249,5.4598,0.567,0.143932,0.820093,0.820093
23,0.761,1.4317,0.626,0.1786,0.841139,0.841139
23,0.6988,1.3601,0.624,0.1786,0.826945,0.826945
23,0.6298,1.6036,0.611,0.1786,0.825029,0.825029
23,0.19,8.2551,0.589,0.1786,0.821303,0.821303
24,0.2954,6.2097,0.595,0.198821,0.869395,0.869395
24,0.2954,7.1253,0.591,0.198821,0.826946,0.826946
24,0.9978,12.8863,0.587,0.198821,0.824707,0.824707
25,0.8872,2.7771,0.643,0.213768,0.839586,0.839586
25,0.627,1.1129,0.642,0.213768,0.829165,0.829165
25,0.8872,5.0924,0.637,0.213768,0.824075,0.824075
26,1.2631,3.4881,0.623,0.232363,0.820012,0.820012
26,1.0203,12.8766,0.6,0.232363,0.819187,0.819187
27,1.2027,8.3759,0.651,0.256779,0.869157,0.869157
27,0.9991,8.2251,0.649,0.256779,0.851746,0.851746
27,1.1934,8.2251,0.648,0.256779,0.830334,0.830334
28,1.5067,7.4148,0.687,0.268916,0.830804,0.830804
28,0.4943,1.0408,0.68,0.268916,0.828828,0.828828
28,0.8234,11.1333,0.648,0.268916,0.824415,0.824415
28,0.7122,14.5131,0.64,0.268916,0.821263,0.821263
29,0.4879,1.2026,0.702,0.285474,0.837306,0.837306
30,1.4788,5.3464,0.699,0.297853,0.84805,0.84805
30,1.8533,3.6727,0.698,0.297853,0.841158,0.841158
30,1.8244,5.8757,0.697,0.297853,0.840451,0.840451
30,0.486,2.5084,0.696,0.297853,0.835492,0.835492
30,0.5398,2.5993,0.686,0.297853,0.828309,0.828309
30,1.6919,1.0935,0.63,0.297853,0.8229,0.8229
31,1.7239,3.3915,0.683,0.311758,0.844503,0.844503
31,1.036,5.2471,0.67,0.311758,0.842376,0.842376
31,0.6103,14.7922,0.637,0.311758,0.840499,0.840499
32,1.3891,8.9239,0.671,0.320563,0.895471,0.895471
32,1.3852,10.3688,0.669,0.320563,0.854073,0.854073
32,1.0775,7.7951,0.666,0.320563,0.843722,0.843722
32,1.7993,8.2901,0.665,0.320563,0.834506,0.834506
33,1.3621,10.5806,0.665,0.320379,0.861804,0.861804
34,1.4425,11.0924,0.677,0.330921,0.850081,0.850081
34,1.3966,12.1845,0.673,0.330921,0.836596,0.836596
34,1.5451,2.4045,0.669,0.330921,0.835707,0.835707
35,1.6225,2.2712,0.665,0.336316,0.829784,0.829784
35,0.7055,6.4622,0.662,0.336316,0.82908,0.82908
35,1.5933,8.7164,0.661,0.336316,0.822644,0.822644
36,1.8276,4.5567,0.661,0.329689,0.83242,0.83242
36,0.8215,5.538,0.657,0.329689,0.831089,0.831089
36,1.0844,12.7198,0.655,0.329689,0.827447,0.827447
37,0.644,6.0046,0.675,0.324926,0.852525,0.852525
37,1.0076,6.1258,0.674,0.324926,0.840511,0.840511
37,0.2126,2.0639,0.673,0.324926,0.839388,0.839388
37,1.0076,6.2499,0.672,0.324926,0.833446,0.833446
38,0.298,9.0243,0.682,0.323232,0.871116,0.871116
38,0.1696,9.3259,0.681,0.323232,0.830696,0.830696
38,1.4993,1.2579,0.659,0.323232,0.830317,0.830317
39,0.9446,11.0237,0.678,0.307579,0.877104,0.877104
39,0.9601,8.4604,0.677,0.307579,0.85942,0.85942
39,1.8313,11.0409,0.676,0.307579,0.847793,0.847793
40,0.9618,6.0336,0.681,0.287358,0.84214,0.84214
40,0.8946,6.14,0.68,0.287358,0.836205,0.836205
40,0.9296,12.967,0.676,0.287358,0.83462,0.83462
40,0.746,14.147,0.675,0.287358,0.83319,0.83319
41,0.7512,4.4656,0.678,0.293647,0.831548,0.831548
41,1.7872,6.6974,0.668,0.293647,0.827911,0.827911
42,1.3327,4.9599,0.688,0.301489,0.830186,0.830186
42,0.5322,11.291,0.678,0.301489,0.826895,0.826895
42,1.491,13.6029,0.677,0.301489,0.824791,0.824791
43,0.4378,8.3555,0.677,0.290295,0.83027,0.83027
43,0.3711,8.2042,0.675,0.290295,0.829348,0.829348
43,0.9795,7.693,0.673,0.290295,0.826103,0.826103
44,1.923,10.0539,0.679,0.274453,0.916012,0.916012
44,1.923,11.8,0.678,0.274453,0.843236,0.843236
44,0.7999,12.111,0.676,0.274453,0.828329,0.828329
44,1.2694,3.455,0.67,0.274453,0.820866,0.820866
45,1.8587,1.0478,0.676,0.268258,0.869925,0.869925
45,1.1243,8.0296,0.672,0.268258,0.838786,0.838786
46,1.5117,13.1608,0.692,0.263258,0.853178,0.853178
46,0.4919,10.8446,0.691,0.263258,0.829537,0.829537
46,1.4082,10.6442,0.69,0.263258,0.827813,0.827813
47,1.1261,13.6159,0.725,0.265974,0.835624,0.835624
47,1.4891,1.2753,0.716,0.265974,0.834132,0.834132
48,1.4688,2.7555,0.696,0.266321,0.828081,0.828081
48,0.3308,2.6757,0.694,0.266321,0.822845,0.822845
49,1.6567,3.4373,0.695,0.259647,0.831135,0.831135
49,0.8569,13.7031,0.692,0.259647,0.823752,0.823752
50,0.7656,5.6706,0.686,0.266821,0.821671,0.821671
50,0.1665,1.0383,0.684,0.266821,0.821475,0.821475
50,0.1722,13.0046,0.681,0.266821,0.818201,0.818201
50,1.2416,2.0619,0.673,0.266821,0.816644,0.816644
51,0.957,13.1191,0.674,0.267432,0.84082,0.84082
51,1.9573,14.9931,0.673,0.267432,0.830992,0.830992
51,1.9724,8.6045,0.67,0.267432,0.825063,0.825063
52,0.6806,14.6096,0.693,0.260047,0.83456,0.83456
52,0.5554,12.0417,0.691,0.260047,0.827336,0.827336
52,0.726,4.6696,0.687,0.260047,0.82229,0.82229
53,0.8797,8.864,0.7,0.249021,0.847312,0.847312
53,1.5944,7.1166,0.699,0.249021,0.836216,0.836216
53,0.5883,7.431,0.698,0.249021,0.831796,0.831796
53,0.5535,6.3901,0.697,0.249021,0.82062,0.82062
54,1.2811,3.5871,0.689,0.240021,0.832501,0.832501
54,1.1672,11.1663,0.687,0.240021,0.822227,0.822227
54,1.4854,11.2745,0.685,0.240021,0.812465,0.812465
55,0.2845,14.9943,0.718,0.237932,0.825678,0.825678
55,1.087,14.6984,0.717,0.237932,0.818944,0.818944
55,0.4419,11.4521,0.711,0.237932,0.813228,0.813228
55,1.3811,7.0524,0.683,0.237932,0.810436,0.810436
56,1.8929,11.9452,0.702,0.247595,0.824435,0.824435
56,1.8929,12.9186,0.701,0.247595,0.815295,0.815295
56,0.2648,5.8987,0.678,0.247595,0.812102,0.812102
57,0.9883,9.5408,0.673,0.242984,0.825086,0.825086
57,1.0615,8.9113,0.672,0.242984,0.811221,0.811221
58,1.9499,13.7448,0.695,0.233289,0.832537,0.832537
58,1.6015,13.7448,0.693,0.233289,0.831875,0.831875
